village_name_pdf,circle,flood_class,pdf_page
Borguri Gaon,tengakhat,Moderate (9-12),166
45 No Balai F.S.Grant (A),dibrugarh west,Moderate (9-12),166
Saragphala Gohain Gaon,moran,Moderate (9-12),166
Kachogaon,tengakhat,Moderate (9-12),166
Romoni Bharali,moran,Moderate (9-12),166
Chapatoli No.1,tengakhat,Moderate (9-12),166
Balai Gaon,dibrugarh west,Moderate (9-12),166
Nawkata Gaon,moran,Moderate (9-12),166
Naoholia-2 Barkhola,tengakhat,Moderate (9-12),166
Lekai Gaon,dibrugarh west,Moderate (9-12),166
Bordoloni Pather,moran,Moderate (9-12),166
Naoholia-2,tengakhat,Moderate (9-12),166
Simaluguri Gaon,dibrugarh west,Moderate (9-12),166
Chahari Kota No.2,moran,Moderate (9-12),166
Chala Kataky No.1,tengakhat,Moderate (9-12),166
Kawaimari Gaon,dibrugarh west,Moderate (9-12),166
No. Changmai Village,moran,Moderate (9-12),166
Bor Pather No.1.Pt.1,tengakhat,Moderate (9-12),166
Dulia Gaon,dibrugarh west,Moderate (9-12),166
Bagtali Bahani,moran,Moderate (9-12),166
Kapahuwa Gaon,tengakhat,Moderate (9-12),166
Lapat Kata Kachari Gaon,dibrugarh west,Moderate (9-12),166
Sensuwa Pakhuri Gaon,moran,Moderate (9-12),166
Tingrai Doom Gaon No.2,tengakhat,Moderate (9-12),166
Borpather Kakoty Gaon,dibrugarh west,Moderate (9-12),166
Silputa No.2,moran,Moderate (9-12),166
Tingrai N.C.,tengakhat,Moderate (9-12),166
Wakhabi Gaon No.1,dibrugarh west,Moderate (9-12),166
Tengai Koch,moran,Moderate (9-12),166
Naharani Gaon No.1,tengakhat,Moderate (9-12),166
Konwar Handique Gaon,dibrugarh west,Moderate (9-12),166
Hunghugia No.4,moran,Moderate (9-12),166
Tingrai Gaon,tengakhat,Moderate (9-12),166
Chengamari Gaon,dibrugarh west,Moderate (9-12),166
Moina Gaon No.2,moran,Moderate (9-12),166
Lenguai Gaon,tengakhat,Moderate (9-12),166
Changamari Tekela Gaon,dibrugarh west,Moderate (9-12),166
107 Grant F.S.,moran,Moderate (9-12),166
Chukar Pather,tingkhong,Moderate (9-12),166
Dihing Kaibarta Gaon,dibrugarh west,Moderate (9-12),166
Nowjan Habi,moran,Moderate (9-12),166
Longboi Pather,tingkhong,Moderate (9-12),166
Dighala Gaon,dibrugarh west,Moderate (9-12),166
Hologuri Gaon,moran,Moderate (9-12),166
Dhadhumia Bangali No.2,tingkhong,Moderate (9-12),166
Naharani Gaon,moran,Moderate (9-12),166
Sukhani,tingkhong,Moderate (9-12),166
Laruajan Gaon,dibrugarh west,Moderate (9-12),166
Tingrai Doom Gaon,naharkatiya,Moderate (9-12),166
Bortoni No.1,tingkhong,Moderate (9-12),166
Kachari Pather No.1,tengakhat,Moderate (9-12),166
Merbil Grazing,naharkatiya,Moderate (9-12),166
Disang,tingkhong,Moderate (9-12),166
Niz-Tengakhat Gaon,tengakhat,Moderate (9-12),166
Dalamuri,naharkatiya,Moderate (9-12),166
Dhua Pather No.1,tingkhong,Moderate (9-12),166
Dharia Gaon,tengakhat,Moderate (9-12),166
