village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha
Bamunbari 320 No.Nlr Grant,291832,157.2,224,45,1,,1,a,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,a,a,b,a,a,b,Yes,a,Yes,b,Yes,Yes,a,b,a,Yes,c,a,a,Yes,No,No,No,0.0,4.4,12.5,0.0,0.0,1.5,3.1,7.2,0.0,7.2
Ghuguloni Bongali,291833,175.8,711,149,2,1,1,b,,,,,,0.0,Yes,Yes,Yes,Yes,Yes,No,No,No,a,c,b,c,b,b,b,b,b,Yes,b,Yes,Yes,a,c,a,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,34.9,1.6,0.0,0.0,1.8,0.0,52.3,0.0,52.3
Teloikinar Gaon,291834,26.5,132,27,1,b,c,b,,1.0,,,,0.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,b,b,c,c,c,b,b,a,Yes,b,Yes,Yes,a,c,c,Yes,c,Yes,a,Yes,No,No,No,0.0,7.4,1.3,0.0,1.0,1.3,0.0,10.0,0.0,10.0
Ghugulpather No.1,291835,90.9,218,40,1,b,a,c,,,,,,0.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,a,c,a,a,a,a,a,Yes,c,Yes,Yes,b,c,c,a,c,Yes,a,Yes,No,No,No,0.0,10.5,5.1,0.0,0.1,2.0,0.0,54.4,0.0,54.4
Ghugulpather No.2,291836,26.6,99,22,a,a,a,a,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,Yes,c,a,a,a,a,Yes,a,a,Yes,Yes,b,c,b,a,c,a,a,Yes,No,No,No,0.0,3.7,1.1,0.0,0.0,1.0,0.5,16.8,0.0,16.8
Ghugul Pather,291837,77.7,261,55,1,1,a,c,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,a,a,a,a,a,a,a,Yes,a,Yes,Yes,a,c,b,Yes,Yes,Yes,a,Yes,No,No,No,0.0,5.2,2.0,0.0,1.2,1.8,2.0,13.7,0.0,13.7
Ghuraghas No.1,291838,100.3,436,91,1,1,c,c,,1.0,1.0,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,c,c,b,b,b,b,a,Yes,b,Yes,Yes,a,b,b,Yes,Yes,Yes,a,Yes,No,No,No,0.0,16.0,0.0,0.0,2.2,0.0,1.4,73.7,0.0,73.7
Rangchali Nepali,291839,158.0,589,127,2,1,c,c,,,1.0,,,0.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,b,b,b,a,b,Yes,Yes,b,Yes,Yes,a,b,a,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,75.0,3.0,0.0,11.4,2.5,1.8,44.0,0.0,44.0
Khowang Nlr Grant No.319,291840,222.5,1169,264,1,a,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,a,c,Yes,a,a,a,a,Yes,a,Yes,Yes,b,c,b,Yes,c,a,Yes,Yes,No,No,No,0.0,16.7,4.7,0.0,1.0,0.7,0.6,12.8,0.0,12.8
Moni Pather,291841,117.0,623,128,1,a,a,b,,,,,,0.0,No,Yes,Yes,No,No,No,No,No,Yes,b,Yes,b,a,a,a,b,Yes,Yes,b,Yes,Yes,a,b,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,12.1,3.3,0.0,1.1,0.8,0.3,91.2,0.0,91.2
Teloibari Gaon,291842,68.9,447,100,1,a,a,a,,,,,,0.0,No,Yes,Yes,No,No,No,No,No,Yes,c,a,a,a,a,Yes,Yes,a,Yes,b,Yes,Yes,a,a,b,Yes,Yes,Yes,a,Yes,No,No,No,0.0,10.0,0.0,0.0,1.0,0.0,0.5,53.8,0.0,53.8
Khowang 99/102 No. Nlr Grant,291843,54.6,169,38,a,a,a,b,,,,,,0.0,No,No,No,Yes,No,No,No,No,Yes,a,b,b,b,b,a,b,a,Yes,b,Yes,Yes,b,b,c,Yes,b,a,a,Yes,No,No,No,0.0,10.2,0.0,0.0,1.3,0.0,0.5,39.4,0.0,39.4
